时间,方向,类型,张数,价格,手续费,盈亏,原因
2025-03-27 04:26:00,多,多单全平,20,87261.90,8.7262,25.54,"✅【平多已执行】 💰 持仓均价: 87090.55 ✂️ 平仓价格: 87261.9 📦 平仓数量: 20.0 📝 平仓原因: 超时6小时且获利10以上｜单张盈利:171.35 ⏰ 时间: 2025-03-27 04:26:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 2512.28 boll45缩口 2269.63  ema15 87072.97 ema30 87235.81 ema60 87059.32 ema120 86396.50 boll20-up 88583.06 boll20-down86070.78 boll45-up 88458.27 boll45-dowm86188.64 atr 226.37 , boll宽度 0.017635  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-27 18:47:00,多,首次开多,10,87145.90,4.3573,0.00,"✅【首次开多】 📈 当前价格: 87145.9 💰 开仓均价: 87145.9 📦 开仓数量: 10 ⏰ 时间: 2025-03-27 18:47:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1655.64 boll45缩口 1945.74  ema15 87307.74 ema30 87297.29 ema60 87158.99 ema120 86588.77 boll20-up 87939.77 boll20-down86284.13 boll45-up 88406.78 boll45-dowm86461.04 atr 99.45 , boll宽度 0.003625  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-27 23:14:00,多,多单全平,10,87390.20,4.3695,20.06,"✅【平多已执行】 💰 持仓均价: 87145.9 ✂️ 平仓价格: 87390.2 📦 平仓数量: 10.0 📝 平仓原因: 20周期布林带上轨上穿45周期中轨，同时获利大于180｜单张盈利:244.30 ⏰ 时间: 2025-03-27 23:14:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1263.51 boll45缩口 1993.62  ema15 87102.42 ema30 87178.23 ema60 87115.13 ema120 86611.36 boll20-up 87832.86 boll20-down86569.35 boll45-up 88320.06 boll45-dowm86326.44 atr 259.77 , boll宽度 0.020969  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-28 11:11:00,多,首次开多,10,86800.10,4.3400,0.00,"✅【首次开多】 📈 当前价格: 86800.1 💰 开仓均价: 86800.1 📦 开仓数量: 10 ⏰ 时间: 2025-03-28 11:11:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1151.90 boll45缩口 1840.12  ema15 87129.53 ema30 87160.45 ema60 87125.76 ema120 86708.50 boll20-up 87683.25 boll20-down86531.35 boll45-up 88119.03 boll45-dowm86278.91 atr 102.91 , boll宽度 0.008004  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-28 12:40:00,多,补仓开多,20,86193.30,8.6193,0.00,"✅【第一套补仓逻辑】 ✅【多仓加仓 第1次】 📉 当前价格: 86193.3 💰 当前均价: 86395.57 📦 加仓数量: 20 📦 总持仓量: 30.000000000000004 🔻 当前亏损比例: 0.70% ⏰ 时间: 2025-03-28 12:40:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 1319.41 boll45缩口 1827.46  ema15 87024.82 ema30 87104.40 ema60 87098.42 ema120 86701.61 boll20-up 87709.80 boll20-down86390.39 boll45-up 88071.75 boll45-dowm86244.29 atr 110.51 , boll宽度 0.007272  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-28 15:31:00,空,空单减仓,10,85549.90,4.2775,72.67,"🔴【空单做T已正式启动-0】 💹 当前价格：85549.90 ✅ 已平第1层补仓 🎯 第1层开仓价：85671.9 📦 已平数量：10 张 💵 第1层盈利：122.00 点 ---------- 📊 剩余仓位数量：10.000000000000004 ⚖️ 当前均价：86319.40 🧮 剩余修正后均价：85050.00 ---------- 📉 当前均价盈利：769.50 点 📉 修正后均价盈利：-499.90 点 ---------- 💰 本轮做T累计盈利：23.05 USDT 📉 已平仓累计亏损：180.06 USDT ---------- ⏰ 本轮做T次数：2 ⏰第六套做T逻辑标志:False ⏰ 平仓时间：2025-03-28 15:31:00 ===============  WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 2428.97 boll45缩口 2156.92  ema15 86562.09 ema30 86839.15 ema60 86960.65 ema120 86650.59 boll20-up 88035.81 boll20-down85606.84 boll45-up 88078.29 boll45-dowm85921.37 atr 153.66 , boll宽度 0.010403  suokou_first:False , suokou_second: False   EMA进入boll45停机：False=============== 📋 剩余持仓情况： 🔹 第一枪开仓价：85050.0，数量：10，盈利：-499.90点   - 没有剩余补仓,仅剩余第一枪，等机会跑 "
2025-03-28 15:33:00,多,补仓开多,10,85398.30,4.2699,0.00,"✅【第二套补仓逻辑】 ✅【多仓加仓 第2次】 📉 当前价格: 85398.3 💰 当前均价: 86146.25 📦 加仓数量: 10 📦 总持仓量: 40.0 🔻 当前亏损比例: 1.15% ⏰ 时间: 2025-03-28 15:33:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 2428.97 boll45缩口 2156.92  ema15 86562.09 ema30 86839.15 ema60 86960.65 ema120 86650.59 boll20-up 88035.81 boll20-down85606.84 boll45-up 88078.29 boll45-dowm85921.37 atr 153.66 , boll宽度 0.010403  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-28 18:58:00,空,空单全平,10,84900.00,4.2450,137.69,"✅【空单做T完美结束-3】  📉 当前价格: 84900.00 💰 空单已被清空 💰 开仓均价 86319.4  💰 修正开仓均价 85050.00  📦 已平 10.000000000000004 张 🔻 累计做T盈利 23.05 🔻 剩余仓位亏损 16.50 🔻 累计盈利已大于剩余仓位亏损 39.55 ⏰ 平仓时间: 2025-03-28 18:58:00  WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 3439.02 boll45缩口 2744.35  ema15 86081.13 ema30 86525.75 ema60 86784.88 ema120 86575.70 boll20-up 88286.57 boll20-down84847.55 boll45-up 88210.83 boll45-dowm85466.48 atr 104.08 , boll宽度 0.004560  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-28 22:09:00,多,补仓开多,10,84427.80,4.2214,0.00,"✅【第二套补仓逻辑】 ✅【多仓加仓 第3次】 📉 当前价格: 84427.8 💰 当前均价: 85802.56 📦 加仓数量: 10 📦 总持仓量: 50.0 🔻 当前亏损比例: 1.99% ⏰ 时间: 2025-03-28 22:09:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 4304.51 boll45缩口 3598.70  ema15 85555.66 ema30 86130.93 ema60 86543.76 ema120 86465.07 boll20-up 88298.31 boll20-down83993.80 boll45-up 88480.00 boll45-dowm84881.30 atr 227.86 , boll宽度 0.011654  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
2025-03-30 01:13:00,多,补仓开多,20,81938.50,8.1939,0.00,"✅【第三套补仓逻辑——稳健策略】 ✅【多仓加仓 第4次】 📉 当前价格: 81938.5 💰 当前均价: 84698.54 📦 加仓数量: 20 📦 总持仓量: 70.0 🔻 当前亏损比例: 4.50% ⏰ 时间: 2025-03-30 01:13:00 WWWWWWWWWW 不开单标志:False， 缩口启动:False， 缩口_小级别：False 停机多:False,  停机空:False  boll20缩口 3338.16 boll45缩口 6035.80  ema15 83007.80 ema30 83712.31 ema60 84677.35 ema120 85383.34 boll20-up 85102.86 boll20-down81764.70 boll45-up 87564.96 boll45-dowm81529.16 atr 128.36 , boll宽度 0.008909  suokou_first:False , suokou_second: False   EMA进入boll45停机：False"
